File,Wavelet,Coefficient_Type,Level,PSNR
rotated_0deg_Q1_2023-09-28_3_19_42_uv_Photo_Capture_3.png,rbio1.3,Detailed,1,34.21116641754902
rotated_0deg_Q1_2023-09-28_3_19_42_uv_Photo_Capture_4.png,haar,Approximate,1,34.00799856755073
rotated_0deg_Q1_2023-09-28_3_19_42_uv_Photo_Capture_4.png,haar,Detailed,1,45.463280380811746
rotated_0deg_Q1_2023-09-28_3_19_42_uv_Photo_Capture_4.png,haar,Approximate,2,30.737764963156188
rotated_0deg_Q1_2023-09-28_3_19_42_uv_Photo_Capture_4.png,haar,Detailed,2,43.92476367559929
rotated_0deg_Q1_2023-09-28_3_19_42_uv_Photo_Capture_4.png,haar,Approximate,3,31.013484321271946
rotated_0deg_Q1_2023-09-28_3_19_42_uv_Photo_Capture_4.png,haar,Detailed,3,43.57827521043673
rotated_0deg_Q1_2023-09-28_3_19_42_uv_Photo_Capture_4.png,db3,Approximate,1,33.77073983412293
rotated_0deg_Q1_2023-09-28_3_19_42_uv_Photo_Capture_4.png,db3,Detailed,1,46.747776627016286
rotated_0deg_Q1_2023-09-28_3_19_42_uv_Photo_Capture_4.png,sym2,Approximate,1,33.76505999702886
rotated_0deg_Q1_2023-09-28_3_19_42_uv_Photo_Capture_4.png,sym2,Detailed,1,45.473783275456725
rotated_0deg_Q1_2023-09-28_3_19_42_uv_Photo_Capture_4.png,sym2,Approximate,2,32.519576720859355
rotated_0deg_Q1_2023-09-28_3_19_42_uv_Photo_Capture_4.png,sym2,Detailed,2,41.83780004497977
rotated_0deg_Q1_2023-09-28_3_19_42_uv_Photo_Capture_4.png,coif1,Approximate,1,33.22657817868664
rotated_0deg_Q1_2023-09-28_3_19_42_uv_Photo_Capture_4.png,coif1,Detailed,1,46.03421754165961
rotated_0deg_Q1_2023-09-28_3_19_42_uv_Photo_Capture_4.png,bior1.3,Approximate,1,33.99600975436375
rotated_0deg_Q1_2023-09-28_3_19_42_uv_Photo_Capture_4.png,bior1.3,Detailed,1,43.77287168959519
rotated_0deg_Q1_2023-09-28_3_19_42_uv_Photo_Capture_4.png,rbio1.3,Approximate,1,33.71988675236934
rotated_0deg_Q1_2023-09-28_3_19_42_uv_Photo_Capture_4.png,rbio1.3,Detailed,1,45.06272526344969
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_1.png,haar,Approximate,1,31.808159384462776
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_1.png,haar,Detailed,1,33.56136231837331
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_1.png,haar,Approximate,2,29.52571237477562
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_1.png,haar,Detailed,2,33.12478010298725
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_1.png,haar,Approximate,3,29.794476306425622
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_1.png,haar,Detailed,3,33.367180608732816
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_1.png,db3,Approximate,1,31.921515262432667
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_1.png,db3,Detailed,1,33.15229621289504
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_1.png,sym2,Approximate,1,31.922505445934227
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_1.png,sym2,Detailed,1,33.22921144447635
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_1.png,sym2,Approximate,2,30.75130843656682
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_1.png,sym2,Detailed,2,32.796593747116844
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_1.png,coif1,Approximate,1,31.71370233575271
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_1.png,coif1,Detailed,1,32.87912104574434
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_1.png,bior1.3,Approximate,1,31.909650636310474
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_1.png,bior1.3,Detailed,1,33.481935625652596
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_1.png,rbio1.3,Approximate,1,32.142898541047956
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_1.png,rbio1.3,Detailed,1,32.94879877865343
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_2.png,haar,Approximate,1,34.283393557605706
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_2.png,haar,Detailed,1,36.78457487594997
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_2.png,haar,Approximate,2,34.03434498576129
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_2.png,haar,Detailed,2,34.83290449986726
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_2.png,haar,Approximate,3,31.97364052210641
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_2.png,haar,Detailed,3,34.28280837336726
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_2.png,haar,Approximate,4,30.222710530147012
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_2.png,haar,Detailed,4,34.31511117494606
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_2.png,db3,Approximate,1,35.19349603945428
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_2.png,db3,Detailed,1,37.355580862090925
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_2.png,sym2,Approximate,1,35.4384219962778
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_2.png,sym2,Detailed,1,37.657927648540046
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_2.png,sym2,Approximate,2,33.378555916156586
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_2.png,sym2,Detailed,2,36.56238350245103
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_2.png,coif1,Approximate,1,35.59150343640113
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_2.png,coif1,Detailed,1,37.09187246718224
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_2.png,bior1.3,Approximate,1,34.7552323039782
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_2.png,bior1.3,Detailed,1,37.04519758537684
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_2.png,rbio1.3,Approximate,1,35.924254315098004
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_2.png,rbio1.3,Detailed,1,37.15149678807447
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_3.png,haar,Approximate,1,35.45358776537591
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_3.png,haar,Detailed,1,40.86824470345086
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_3.png,haar,Approximate,2,34.16772017791704
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_3.png,haar,Detailed,2,38.04180916452434
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_3.png,haar,Approximate,3,33.352810506133174
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_3.png,haar,Detailed,3,37.59072110824762
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_3.png,haar,Approximate,4,28.850207304163426
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_3.png,haar,Detailed,4,37.82777977393649
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_3.png,db3,Approximate,1,35.32633601895637
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_3.png,db3,Detailed,1,40.81441239778523
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_3.png,sym2,Approximate,1,34.9835751723727
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_3.png,sym2,Detailed,1,40.57562802197804
